Deaf DB: Title (auto)	Deaf DB: Year (auto)	IMDb ID used	IMDb ID source	Award	Award year	Category	Winner	Notes	Sources	DMDb: Category	DMDb: Deaf Actor	DMDb: Deaf Director	SoS: Tags	Wikipedia: Description	IMDb HoH: Description	SoS: Summary
6ixtynin9	1999	tt0235154	manual	Berlin_Film_Festival	2000	Don Quixote Award - Special Mention	TRUE	None	Sign on Screen				crime/mystery; sports; thriller			Crime thriller includes boxing boss with deaf assistant
A Beautiful Day in the Neighbourhood	2019	tt3224458	manual	Academy_Awards	2020	Oscar: Best Performance by an Actor in a Supporting Role	FALSE	None	Sign on Screen				biopic; drama; friendship			Mr Rogers biopic includes scene in which Mr Rogers (Tom Hanks) shows what he thinks is the most beautiful American Sign Language (ASL) sign: 'friend'
A Beautiful Day in the Neighbourhood	2019	tt3224458	manual	BAFTA	2020	BAFTA Film Award: Best Supporting Actor	FALSE	None	Sign on Screen				biopic; drama; friendship			Mr Rogers biopic includes scene in which Mr Rogers (Tom Hanks) shows what he thinks is the most beautiful American Sign Language (ASL) sign: 'friend'
A Beautiful Day in the Neighbourhood	2019	tt3224458	manual	Golden_Globes	2020	Golden Globe: Best Performance by an Actor in a Supporting Role in a Motion Picture	FALSE	None	Sign on Screen				biopic; drama; friendship			Mr Rogers biopic includes scene in which Mr Rogers (Tom Hanks) shows what he thinks is the most beautiful American Sign Language (ASL) sign: 'friend'
A City of Sadness	1989	tt0096908	manual	Venice_Film_Festival	1989	Golden Lion	TRUE	None	Sign on Screen				drama			Taiwanese historical drama focused on deaf character and his family
A City of Sadness	1989	tt0096908	manual	Venice_Film_Festival	1989	Special Golden Ciak	TRUE	For the artistic originality and sensitivity.	Sign on Screen				drama			Taiwanese historical drama focused on deaf character and his family
A City of Sadness	1989	tt0096908	manual	Venice_Film_Festival	1989	UNESCO Award	TRUE	None	Sign on Screen				drama			Taiwanese historical drama focused on deaf character and his family
A Quiet Place	2018	tt6644200	auto	NBR	2018	NBR Award: Top Ten Films	TRUE	None	DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Movies	Movies with Deaf Actors | Leading Roles	Millicent Simmonds		apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative		A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.	High-profile horror franchise in which a deaf girl (deaf actaor Millicent Simmonds) and her family use American Sign Language (ASL) to hide from monsters who hunt by sound
A Quiet Place	2018	tt6644200	auto	Academy_Awards	2019	Oscar: Best Achievement in Sound Editing	FALSE	None	DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Movies	Movies with Deaf Actors | Leading Roles	Millicent Simmonds		apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative		A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.	High-profile horror franchise in which a deaf girl (deaf actaor Millicent Simmonds) and her family use American Sign Language (ASL) to hide from monsters who hunt by sound
A Quiet Place	2018	tt6644200	auto	BAFTA	2019	BAFTA Film Award: Best Sound	FALSE	None	DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Movies	Movies with Deaf Actors | Leading Roles	Millicent Simmonds		apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative		A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.	High-profile horror franchise in which a deaf girl (deaf actaor Millicent Simmonds) and her family use American Sign Language (ASL) to hide from monsters who hunt by sound
A Quiet Place	2018	tt6644200	auto	Golden_Globes	2019	Golden Globe: Best Original Score - Motion Picture	FALSE	None	DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Movies	Movies with Deaf Actors | Leading Roles	Millicent Simmonds		apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative		A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.	High-profile horror franchise in which a deaf girl (deaf actaor Millicent Simmonds) and her family use American Sign Language (ASL) to hide from monsters who hunt by sound
A Quiet Place Part II	2021	tt8332922	auto	BAFTA	2022	BAFTA Film Award: Best Sound	FALSE	None	DMDb; Sign on Screen; IMDb Deaf Movies	Movies with Deaf Actors | Leading Roles; Movies	Millicent Simmonds		apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative			Sound horror sequel, continuation of a signing family's survival which includes their deaf daughter (deaf actaor Millicent Simmonds) using her hearing aids as a weapon against hyper-hearing monsters
A Star is Born	2018	tt1517451	auto	NBR	2018	NBR Award: Best Actress	TRUE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	NBR	2018	NBR Award: Best Director	TRUE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	NBR	2018	NBR Award: Best Supporting Actor	TRUE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	NBR	2018	NBR Award: Top Ten Films	TRUE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	Venice_Film_Festival	2018	Smithers Foundation Award: Collateral Award	TRUE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	Academy_Awards	2019	Oscar: Best Motion Picture of the Year	FALSE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	Academy_Awards	2019	Oscar: Best Performance by an Actor in a Leading Role	FALSE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	Academy_Awards	2019	Oscar: Best Performance by an Actress in a Leading Role	FALSE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
A Star is Born	2018	tt1517451	auto	Academy_Awards	2019	Oscar: Best Performance by an Actor in a Supporting Role	FALSE	None	Sign on Screen				deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus			Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss
