Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
…And Your Name Is Jonah	01 hours 40 minutes	Drama	January 28, 1979	Movies with Deaf Actors | Leading Roles; Movies	Bernard Bragg; Jeffrey Bravin				American Sign Language; English	USA	50-100% Sign Language Usage			tt0078776	A couple whose son had been diagnosed as intellectually disabled, and was institutionalized, are shocked to discover that the diagnosis was wrong, and that their son is deaf, not intellectually disabled.	https://deafmovie.org/title/and-your-name-is-jonah/
(((Resonancia)))		Documentary	January 1, 2016	x Documentaries									Free Documentary	tt5848388	This documentary film it’s about the communication and the lack of communication between the deaf world and the hearing world, and the possibility of communion through a common goal and a transcendent search.	https://deafmovie.org/title/resonancia/
#HearMe	01 hours 30 minutes	Documentary	September 25, 2016	x Documentaries					Russian Sign Language; Russian	Russia				tt6787064	Millions of people in Russia have various hearing impairments. According to the World Health Organization, between 7 and 13 million people have serious hearing problems, living in partial or complete silence. It is a physical problem, a disability. Such people are usually called deaf but they want self-actualization no less than those who can hear. #HEARME is a film and a social media campaign about those who successfully overcome life circumstances and about those who need support in their soul searching. Among the characters of the film, there are businessmen and philosophers, artists and painters, ordinary people. They are capable of doing a lot, and if they are helped to integrate the society, they would achieve even more and become a full-fledged part of the society.	https://deafmovie.org/title/hearme/
122		Horror; Thriller	June 4, 2019	Movies with No Deaf Actors | Supporting Roles					Arabic	Egypt				tt7867670	On a bloody night in a place where we are supposed to feel safe, a young man and his beloved are struggling not to reach the hospital, but to run away from it. They are trying to survive the night.	https://deafmovie.org/title/122/
19:24	11 minutes	Drama; Short	September 1, 2023	Shorts by Deaf Directors; Shorts		Audrey Sangla			French Sign Language; French	France	50-100% Sign Language Usage				“19:24” is a short film that tells the story of a long-distance deaf couple, Justine (French) and Karl (Danish), who have been together for two years, staying connected through modern technology.	https://deafmovie.org/title/1924/
4	7 minutes		May 1, 2014	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Stephen Collins	Bim Ajadi			British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage	BSLZone	Free Short	tt3713698	In the confines of his disheveled bedsit, an agoraphobic young man is challenged to a game of connect 4. However it soon becomes apparent that this is no ordinary version of the parlor game that we are watching. What was designed for recreation has now become an obsessive addiction. Losing for him is no longer an option, but are the odds stacked against him, and the stake too high? A suspense drama……..	https://deafmovie.org/title/tt3713698/
4 Quarters of Silence		Sport; Documentary	April 29, 2017	x Documentaries									Free Documentary	tt6028186	4 Quarters of Silence diagrams a journey that follows the Texas School for the Deaf Rangers. Ask the school’s head football coach, players, and the athletes’ parents and you’ll find out that deafness is not a weakness, but a strength.	https://deafmovie.org/title/4-quarters-of-silence/
A Busca do Eu e o Silêncio	20 minutes	Documentary	September 1, 2021	x Documentaries by Deaf Directors; x Documentaries		Giuliano Robert		Giuliano Robert	Brazilian Sign Language; Portuguese	Brazil	50-100% Sign Language Usage	Beija Flor Filmes			Non-communication can emerge through different ways, whether by conflict, language, or culture. In Giuliano Robert’s film it happens through the interference of speech: a hearing mother describes the beginning of a communication process with her deaf son. Based on the mother’s experiences, Márcia, the documentary is conducted by her son, Giuliano, in search of a connection with a culture which, through lack of information and access, silences other modes of communication.	https://deafmovie.org/title/a-busca-do-eu-e-o-silencio/
A Day’s Pleasure		Comedy; Short	December 15, 1919	x Silent Movies; x Silent Movies with Deaf Actors | Supporting Roles	Granville Redmond					USA	x Mime		Kids Free; Free Silent Movie	tt0010057	A father takes his family for an outing, which turns out to be a ridiculous trial.	https://deafmovie.org/title/a-days-pleasure/
A Dog’s Life		Comedy; Drama	April 14, 1918	x Silent Movies; x Silent Movies with Deaf Actors | Supporting Roles	Granville Redmond					USA	x Mime		Kids Free; Free Silent Movie	tt0009018	The Little Tramp and his dog companion struggle to survive in the inner city.	https://deafmovie.org/title/a-dogs-life/
A Life With CI	2 minutes		July 10, 2021	Shorts					English	Germany					From his Vimeo link:	https://deafmovie.org/title/a-life-with-ci/
A Lot Like Love		Comedy; Drama; Romance	April 21, 2005	Movies with Deaf Actors | Supporting Roles; Movies	Tyrone Giordano				American Sign Language; English	USA	1-10% Sign Language Usage				Note: Small Presence of Deaf Character/Sign Language in the Film Unaquainted Emily and Oliver join the mile high club together on the way from LAX to NYC – end of story except they meet on and off the next 7 years. Are they meant for each other?   Actor:Aimee Garcia, Ali Larter, Amanda Peet, […]	https://deafmovie.org/title/a-lot-like-love/
A Quiet Love	01 hours 35 minutes		July 19, 2025	x Documentaries					Irish Sign Language	EUR; Ireland					Three love stories. One shared language.In this intimate film, three Deaf couples share their remarkable love stories through Irish Sign Language: a decades-long forbidden romance across a religious divide, an LGBTQI+ couple navigating parenthood with Deaf and hearing children, and a Deaf boxer and his hearing partner facing a life-altering choice.	https://deafmovie.org/title/a-quiet-love/
A Quiet Place		Drama; Horror; Mystery	April 6, 2018	Movies with Deaf Actors | Leading Roles	Millicent Simmonds				American Sign Language; English	USA	10-25% Sign Language Usage				In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing. Two parents do what it takes to keep their children safe in a world full of creatures hunting every sound they can hear.	https://deafmovie.org/title/a-quiet-place/
A Quiet Place Part II		Horror; Thriller	June 11, 2021	Movies with Deaf Actors | Leading Roles; Movies	Millicent Simmonds				American Sign Language; English	USA	10-25% Sign Language Usage				Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.	https://deafmovie.org/title/a-quiet-place-part-ii/
A Regular Fellow (orig. title: He’s a Prince)		Comedy	October 5, 1925	Shorts with Deaf Actors | Supporting Roles; Shorts	Granville Redomond				English	USA					Prince Alexis is the son of the king of a small European country. His duties, though fairly unimportant, nevertheless keep him so busy that he has no time for anything else. One day he … See full summary	https://deafmovie.org/title/a-regular-fellow/
A Scene at the Sea		Comedy; Drama; Romance	September 1, 1991	Movies with No Deaf Actors | Leading Roles; Movies											The lives of a young, deaf and gloomy couple are fulfilled after the boy holds interest in surfboarding.	https://deafmovie.org/title/a-scene-at-the-sea/
A Silent Agreement	02 hours 14 minutes	Drama; Romance; TV	September 28, 2017	TV Movies; TV Movies with Deaf Actors | Leading Roles									Free TV Movie	tt6427368	In the first Australian feature film to showcase Auslan (Australian sign language), writer/director Davo Hardy, plays a sensitive writer named Reuben, who grapples with a speech impediment …	https://deafmovie.org/title/a-silent-agreement/
A Silent Voice	02 hours 10 minutes	Drama; Romance; Animation	September 17, 2016						Japanese Sign Language; Japanese	Japan			Free Movie		A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption. Watch Full Movie [Free] https://www.bilibili.tv/en/video/2008981397	https://deafmovie.org/title/a-silent-voice/
A Sonic Pulse	8 minutes		September 9, 2019	x Documentaries; x Documentaries by Non-Deaf Directors					English; British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage		Free Documentary	tt11944548	“Music shouldn’t be defined by hearing people because it’s about feeling vibrations and frequencies.”	https://deafmovie.org/title/tt11944548/
A Summer to Remember		Comedy; Drama; TV	March 27, 1985	TV Movies	Sean Gerlis				English	USA			Kids Free; Free TV Movie	tt0090099	Silent since losing his hearing to meningitis, young Toby Wyler takes a bitter stance against the world and his family, refusing to accept his new stepfather. But when a highly trained orangutan named Casey is thrown from a truck near Toby’s home, the boy soon has a secret friend he can communicate with via sign language.	https://deafmovie.org/title/a-summer-to-remember/
A Voice in the Dark			June 5, 1921	x Silent Movies						USA			Free Silent Movie	tt0012813	“A deaf witness to murder accuses a young woman on the basis of what she saw; a blind witness correctly identifies the guilty party on the basis of an overheard conversation, and thereby frees the young woman mistakenly identified by the deaf witness. The film’s setting is a sanatorium where the two witnesses are patients. Gertrude Norman’s [actress who plays the deaf patient] screen credit reads: ’Mrs. Maria Lydiard. Deaf, and with an irritable disposition’ and Alec Francis is ’Joseph Crampton. Sightless, but still loving life and nature.’ The deaf character lip-reads with the assistance of an ’aurophone.’” — From “Hollywood speaks” by John Schuchman. The fragment of the film obtained from the Library of Congress starts with the deaf woman using her audio devise and talking to a man [the lawyer?]. She has given evidence to accuse the heroine of murder. The accused young woman tells her story as a flashback, as she sits at a desk with the deaf patient. The blind patient is brought in and tells his story of overhearing a confession to the murder and then identifies the murderer’s voice. The fragment abruptly ends at this point.	https://deafmovie.org/title/a-voice-in-the-dark/
A Walking Tour of Sesame Street		Comedy; Family	June 1, 1979	TV Movies; TV Movies with Deaf Actors | Leading Roles	Linda Bove										James Earl Jones hosts this tenth anniversary retrospective of the popular children’s series.	https://deafmovie.org/title/a-walking-tour-of-sesame-street/
A Wedding		Drama; Family; Short	October 17, 1961	Shorts											Class distinctions, inferiority complexes, and social climbing abound as the bride, groom, and their families gather for a wedding banquet. There’s a rumor that a general will be in attendance, secured by a real estate agent at one family’s expense. After an argument about electricity, which exposes both the ignorance and the combativeness of the bride, the general does arrive, ear trumpet in hand. He commands the attention of all. But will tranquility last until the group photo?	https://deafmovie.org/title/a-wedding/
A Woman Like Me		Documentary; Short	June 1, 2017	x Documentaries											A Danish woman who is deaf, blind and mute travels to Nepal to meet a woman with her same condition. Will they be able to communicate? And what will they say to each other? A Woman Like Me	https://deafmovie.org/title/a-woman-like-me/
A Woman of Paris: A Drama of Fate	01 hours 22 minutes	Drama; Romance	September 26, 1923	x Silent Movies; x Silent Movies with Deaf Actors | Supporting Roles	Granville Redmond					USA	x Mime		Kids Free; Free Silent Movie	tt0014624	Marie St. Clair believes she has been jilted by her artist fiance Jean when he fails to meet her at the railway station. She goes off to Paris alone. A year later, mistress of wealthy Pierre Revel, she meets Jean again. Misinterpreting events she bounces back and forth between apparent security and true love.	https://deafmovie.org/title/a-woman-of-paris-a-drama-of-fate-2/
A.S.L.		Family; Short	January 1, 2015	Shorts										tt3494068	A young boy, Wyatt, is afraid of his first day at a new school. He fears that he may not make any friends due to being different. However, a young girl, Kylie, sees a new friend.	https://deafmovie.org/title/asl/
Ägypten		Documentary; Short	May 5, 1997	x Documentaries; x Documentaries by Non-Deaf Directors						Germany; Austria; EUR					Egypt is a film which is almost silent. A film about deaf mutes, or rather about their sign language, a language which, like the ancient Egyptian hieroglyphs, links the symbolic terminology of words with the mimetic and analogous representations of graphic gestures. Sober black and white scenes show how “shark”, “widow”, “Marilyn Monroe”, a James bond sequence, a Viennese song or the account of a treasure hunt undertaken by two holiday makers in Egypt look in the sign language. It is a very modest indication, an introduction to an unfamiliar way of experiencing the world, where one sees the sounds without hearing them. (Drehli Robnik)	https://deafmovie.org/title/agypten/
Aaron’s Consent		Drama; Short	August 1, 2014	Shorts with Deaf Actors | Leading Roles; Shorts					Australian Sign Language	Australia			Free Short		A man afflicted with cerebral palsy and profound deafness yearns for a meaningful relationship. His widowed father is torn between providing a high quality of life for his son and the reality of how unlikely it is that he will succeed.	https://deafmovie.org/title/aarons-consent/
After Image		Drama; Thriller	January 23, 2001	Movies with Deaf Actors | Leading Roles	Terrylene				American Sign Language; English	USA					The story of a clairvoyant who falls in love with a crime photographer. Soon, both become involved in the search for a pathological murderer.	https://deafmovie.org/title/after-image/
Against Her Will: The Carrie Buck Story		Drama	October 5, 1994	TV Movies; TV Movies with Deaf Actors | Leading Roles	Marlee Matlin				American Sign Language	USA					Carrie Buck is a young intellectually disabled woman who is persuaded to fight against the courts for custody of her newborn daughter after it’s taken from her since Carrie has been declared mentally incompetent to raise her baby by herself.	https://deafmovie.org/title/against-her-will-the-carrie-buck-story/
Airspace	18 minutes	Drama; Short	August 17, 2020	Shorts with Deaf Actors | Leading Roles; Shorts	Jared DeBusk				American Sign Language	USA	50-100% Sign Language Usage				A young woman whose attempt at ending her life in the solitude of an isolated forest is interrupted by a drone that, against her wishes, refuses to abandon her.	https://deafmovie.org/title/airspace/
Alfredo Corrado	01 hours 36 minutes		February 19, 2023	x Documentaries by Deaf Directors		Julien Bourge			French Sign Language	France					In this documentary, Julien Bourges traces part of the life of Alfredo Corrado, an American deaf artist. Today recognized by the French Deaf community as an important figure, he arrived in Paris in the late 1970s, at a time when French Sign Language was banned and despised.	https://deafmovie.org/title/alfredo-corrado/
America’s Founders Friends of the Deaf	45 minutes	History	August 12, 2016	Shorts; Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers	Savannah Dahan	Gary Brooks			American Sign Language	USA	50-100% Sign Language Usage		Free Short		A visual narrative of how Thomas Hopkins Gallaudet, with the help of Laurent Clerc and Dr. Mason Cogswell, established schools in America to provide an education for deaf children.	https://deafmovie.org/title/americas-founders-friends-of-the-deaf/
Amy		Drama; Family	March 20, 1981	Movies with No Deaf Actors | Leading Roles; Movies											A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.	https://deafmovie.org/title/amy/
An Air So Pure		Comedy; Drama	September 3, 1997												Set in Europe during WWI, a doctor and lawyer have converted a musty old mansion into a ritzy hotel and health spa. The chateau is inhabited by an eccentric collection of characters from	https://deafmovie.org/title/an-air-so-pure/
An Experience		Drama; Short	February 22, 2014	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Amber Zion	Jules Dameron				USA	50-100% Sign Language Usage				Three deaf women tell a personal story monologue-style in American Sign Language about their memory of being traumatized by a simple kiss.	https://deafmovie.org/title/an-experience/
Ankur		Drama	June 1, 1974	Movies with No Deaf Actors | Leading Roles; Movies					Hindi	India	x Misuse Sign Language				Laxmi lives a poor lifestyle in a small village in India along with her husband, Kishtaya, who is a deaf-mute. Both husband and wife work for the wealthy landlord. The landlord’s son, Surya, has to cancel his studies and return home to look after the estate, as well as formalize his marriage to Saroj, the girl he was compelled to get married to when he was very young. Shortly thereafter Kishtaya is apprehended stealing toddy from the fields, is severely beaten, left senseless, and when he recovers he absconds, leaving Laxmi alone to fend for herself. Surya finds her attractive and starts an intimate relationship with her, much to the chagrin of the rest of the family. Things only get worse when Saroj moves in to live with Surya – compelling him to make a final decision about a visibly pregnant Laxmi.	https://deafmovie.org/title/ankur/
Apagagada	5 minutes		June 4, 2026	Shorts with Deaf Actors | Leading Roles		Guillermo Rojo			Spanish Sign Language	Spain; EUR					Sonia turns 53. To celebrate, she sets out to bake a cake while imagining what her day with her family will be like. But the reality is that her life is an unbearable nightmare that keeps her trapped in a cage she doesn’t know how to escape.	https://deafmovie.org/title/apagagada/
Askari		Drama; Family	December 2, 2001	Movies with Deaf Actors | Leading Roles; Movies	Marlee Matlin				American Sign Language; English	USA			Free Movie; Kids Free	tt0284769	A girl is living with her aunt and uncle who run a game reservation in Africa. When their shady boss decides it’s time to cull certain species to prevent overpopulation, poachers appear.	https://deafmovie.org/title/askari/
Audible		Documentary; Short	June 1, 2021	x Documentaries; x Documentaries by Non-Deaf Directors	Amaree McKenstry-Hall				American Sign Language	USA	50-100% Sign Language Usage	Netflix			Football player Amaree McKenstry-Hall and his Maryland School for the Deaf teammates attempt to defend their winning streak while coming to terms with the tragic loss of a close friend.	https://deafmovie.org/title/audible/
Audism	4 minutes	Documentary	June 11, 2007	x Documentaries by Deaf Directors; x Documentaries					American Sign Language	USA	50-100% Sign Language Usage		Free Documentary; Free Documentary DMDb's Pick		Black Summer	https://deafmovie.org/title/audism/
Audism Unveiled		Documentary	September 1, 2008	x Documentaries by Deaf Directors; x Documentaries					American Sign Language	USA	50-100% Sign Language Usage				Black Summer	https://deafmovie.org/title/audism-unveiled/
Ava	3 minutes		June 13, 2019	Shorts									Free Short		A babysitter takes over for the night and what happens has unexpected consequences…Director: , UK, 2019, 3.21 min	https://deafmovie.org/title/ava/
Avenged		Thriller; Action; Horror; Fantasy	August 11, 2013	Movies with No Deaf Actors | Leading Roles; Movies					English	USA	x Misuse Sign Language				A deaf girl is brutalized by a murderous gang who are then hunted by her when the bloodthirsty spirit of an Apache warrior inhabits her lifeless body.	https://deafmovie.org/title/avenged/
Awaaz		Drama; Short	November 5, 2014	Shorts by Deaf Directors; Shorts	No Deaf Actor								x Free No Deaf Cast		A deaf and mute filmmaker proves his critics wrong by directing a film with minimal resources, in spite of his disability.	https://deafmovie.org/title/awaaz/
Babe to Blocked	25 minutes	Drama; Short	January 1, 1970	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts	Michelle Mary Schaefer	Michelle Mary Schaefer	Michelle Mary Schaefer		English	USA		Annabelle Louise Productions			A beautiful talented Deaf actor, Kat Gellar falls in love with the stage manager, Lex. Kat longs for human connection, and genuine love where communication isn’t a barrier. Lex is a full package, with sex, love, and the beauty of …	https://deafmovie.org/title/babe-to-blocked/
Babel		Drama	November 10, 2006	Movies with Deaf Actors | Supporting Roles; Movies with No Deaf Actors | Leading Roles; Movies					Japanese Sign Language; English; Japanese	USA; Japan; Morocco	10-25% Sign Language Usage				Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.	https://deafmovie.org/title/babel/
