Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
122	122	122							2019	June 4, 2019	2019						tt7867670	tt7867670	tt118230											DMDb; Sign on Screen									On a bloody night in a place where we are supposed to feel safe, a young man and his beloved are struggling not to reach the hospital, but to run away from it. They are trying to survive the night.	Egyptian hospital horror movie in which the main character, Umnia, is deaf but played by hearing actor Amina Khalil							Movies with No Deaf Actors | Supporting Roles	hearing actor in deaf role; horror; medical drama	Feature	Horror; Thriller			Arabic	Arabic; Egyptian Sign Language (ESL)	Egypt	Egypt		Yasir Alyasiri			https://deafmovie.org/title/122/					
13 Minutes		13 Minutes							2021		2021						tt9274670		tt9274670											Sign on Screen										Disaster tornado action movie includes deaf character played by Shaylee Mansfield								action; deaf actor; deaf child; survival narrative	Feature					American Sign Language (ASL); English		US		Lindsay Gossling							tt9274670	Q110585233
170 Hz		170 Hz							2011		2011						tt1825636		tt1825636											Sign on Screen										Short in which two deaf teens fall in love and run away together								drama; hearing actor in deaf role; romance	Feature					Dutch; French Sign Language (LSF)		Netherlands		Joost van Ginkel							tt1825636	Q2620822
19:24	19:24								2023	September 1, 2023																				DMDb									“19:24” is a short film that tells the story of a long-distance deaf couple, Justine (French) and Karl (Danish), who have been together for two years, staying connected through modern technology.				Audrey Sangla				Shorts by Deaf Directors; Shorts			Drama; Short	11 minutes		French Sign Language; French		France		50-100% Sign Language Usage				https://deafmovie.org/title/1924/				–	–
25 Minutes of a Lifetime		25 Minutes of a Lifetime							2014		2014						tt5599080		tt5599080											Sign on Screen										Documentary about an Indian-British deaf woman's experience of cultural and linguistic barriers								accessibility; isolation	Short					British Sign Language (BSL); English		UK		Bhulla Beghal							tt5599080	–
2AM		2AM							2020		2020						tt13588546		tt13588546											Sign on Screen										British Sign Language (BSL) mystery short about a man (deaf actor Nadeem Islam) who wakes up to a ghost in his house								deaf actor; deaf director; deaf producer/writer; all/most dialogue in sign language; thriller	Short					British Sign Language (BSL)		UK		Samuel Ash							tt13588546	–
300 Secs		300 Secs							2013		2013						tt3720160		tt3720160											Sign on Screen										Documentary short interviewing Adam Evans, a deaf MMA fighter								deaf sporting excellence; sports	Documentary					English		UK		David Ellington							tt3720160	–
The 355	The 355	The 355							2022	January 5, 2022	2022						tt8356942	tt8356942	tt8356942											DMDb; Sign on Screen									When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who’s tracking their every move.	Action crime film includes deaf actor Emilio Insolera, with some passage in American Sign Language (ASL)		Emilio Insolera					Movies with Deaf Actors | Supporting Roles; Movies	action; crime/mystery; deaf actor	Feature	Action	02 hours 02 minutes		American Sign Language; English; Spanish; French; Chinese; German; Arabic	American Sign Language (ASL); English	USA; China	US	0–1% Sign Language Usage	Simon Kinberg			https://deafmovie.org/title/tt8356942/				tt8356942	Q65090801
4	4								2014	May 1, 2014							tt3713698	tt3713698												DMDb									In the confines of his disheveled bedsit, an agoraphobic young man is challenged to a game of connect 4. However it soon becomes apparent that this is no ordinary version of the parlor game that we are watching. What was designed for recreation has now become an obsessive addiction. Losing for him is no longer an option, but are the odds stacked against him, and the stake too high? A suspense drama……..			Stephen Collins	Bim Ajadi				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts				7 minutes		British Sign Language		United Kingdom; EUR		50-100% Sign Language Usage		BSLZone	Free Short	https://deafmovie.org/title/tt3713698/				tt3713698	–
4 Quarters of Silence	4 Quarters of Silence								2017	April 29, 2017							tt6028186	tt6028186												DMDb									4 Quarters of Silence diagrams a journey that follows the Texas School for the Deaf Rangers. Ask the school’s head football coach, players, and the athletes’ parents and you’ll find out that deafness is not a weakness, but a strength.								x Documentaries			Sport; Documentary										Free Documentary	https://deafmovie.org/title/4-quarters-of-silence/				tt6028186	–
50/50		50/50							2010		2010																			Sign on Screen										Two men start a scam by having one pretend to be a psychic								crime/mystery; deaf villain/suspect	Short					British Sign Language (BSL); English		UK		James Banks							–	–
The 5th Wave		The 5th Wave							2016		2016						tt2304933		tt2304933											Sign on Screen										Alien attack action sci-fi movie stars Chloë Grace Moretz as a hearing sister trying to protect her deaf little brother played by deaf actor Zachary Arthur								action movie; action; apocalypse; deaf actor; deaf child; sci-fi/fantasy; sibling relationship; survival narrative	Feature					English		UK; US		J Blakeson							tt2304933	Q17436508
6ixtynin9		6ixtynin9	Ruang talok 69						1999		1999																			Sign on Screen										Crime thriller includes boxing boss with deaf assistant								crime/mystery; sports; thriller	Feature					Thai		Thailand		Pen-Ek Ratanaruang							tt0235154	Q1969876
The 7th Hunt	The 7th Hunt								2009	October 30, 2009																				DMDb									For Gothic Callie, her deaf sister Ariel, computer nerd Chris, popular Sarah, and misogynist Ricky, their evening plans are about to be re-written. Taken to an abandoned military training school, they finds themselves the target of 5 sadistic killers, each with their own unique and different style of killing. They fight for their lives against sociopaths who know their environment intimately, becoming increasingly outnumbered as their friends are killed.											Drama; Horror; Thriller	01 hours 30 minutes										https://deafmovie.org/title/the-7th-hunt/				tt1118655	Q7711989
9/11 Fear in Silence: The Forgotten Underdogs		9/11 Fear in Silence: The Forgotten Underdogs							2006		2006																			Sign on Screen										Documentary about deaf people affected by 9/11									Documentary					American Sign Language (ASL); English		US		Jade Bryan							tt1811294	–
Aaron’s Consent	Aaron’s Consent	Aaron's Consent							2014	August 1, 2014	2014						tt3662142		tt3662142											DMDb; Sign on Screen									A man afflicted with cerebral palsy and profound deafness yearns for a meaningful relationship. His widowed father is torn between providing a high quality of life for his son and the reality of how unlikely it is that he will succeed.	Australian short about a young deaf man with cerebral palsy, Aaron, and his quest for self-determination							Shorts with Deaf Actors | Leading Roles; Shorts	accessibility; disability	Short	Drama; Short			Australian Sign Language	Australian Sign Language (Auslan); English	Australia	Australia		Davo Hardy		Free Short	https://deafmovie.org/title/aarons-consent/				tt3662142	–
Abang Adik		Abang Adik	Abang Adik						2023		2023						tt27445004		tt27445004											Sign on Screen										Neo-noir crimdrama film about a pair of orphans in Malaysia, one deaf-mute, who struggle in a poverty-stricken and crime-ridden enivronment.								crime; drama	Feature					Cantonese; Malay; Mandarin		Malaysia; Taiwan 		Jin Ong							tt27445004	Q123354213
Abraham's Valley		Abraham's Valley	Vale Abraao						1992		1992																			Sign on Screen										Romantic drama about an unhappy wife in the style of Madame Bovary; her only confidante is her deaf maid								deaf servant; drama; friendship	Feature					Portuguese		France; Portugal; Switzerland		Manoel de Oliveira								
Actions Speak Louder Than Words		Actions Speak Louder Than Words							1992		1992																			Sign on Screen										Discussions with six deaf performers								deaf actor; deaf artist; all/most dialogue in sign language	Short					British Sign Language (BSL)		UK		Richard Kwietniowski							tt0136693	–
The Actor		The Actor	Honarpisheh						1993		1993																			Sign on Screen										A failing actor is pushed by his infertile wife to marry and impregnate a deaf 'gypsy' woman so she can have a child								adoption/foster care; deaf victim/witness	Feature					Farsi		Iran		Mohsen Makhamalbaf							tt0107134	Q3201435
Adada		Adada							1987		1987																			Sign on Screen										Story of a deaf woman living in a South Korean village in the 1920s									Feature					Korean; Korean Sign Language (KSL)		South Korea		Kwon-taek Im							tt0094613	Q4678350
The Addams Family		The Addams Family							1991		1991																			Sign on Screen										Comedy about a goth family includes a disembodied hand, Thing, who communicates through gesture (in the 2020s series Wednesday, Thing uses American Sign Language [ASL]) 								comedy; disability	Feature					English		US		Barry Sonnenfeld								
The Adventures of Hercules		The Adventures of Hercules	Le avventure dell'incredibile Ercole						1985		1985																			Sign on Screen										Pulpy sequel includes deaf actor Lou Ferrigno reprising the title role								deaf actor; action	Feature					English; Italian		Italy, Netherlands, US		Luigi Cozzi							tt0089271	Q1210829
The Adventures of Huck Finn		The Adventures of Huck Finn							1993		1993																			Sign on Screen										Disney remake of Mark Twain's novel with Elijah Wood and Courtney B. Vance includes scene in which character pretends to be deaf								hearing character pretending to be deaf	Feature					English		US		Stephen Sommers							tt0106223	Q1210882
The Adventures of Huckleberry Finn								The Adventures of Huckleberry Finn	1960							1960														Hollywood Speaks											*In one episode two river con artists... pretend to be an English minister accompanied by his deaf brother... The Duke parodies signs... When the real English cousins arrive, they communicate in correct signs...					Unknown						6 reels											MGM	121	tt0053571	Q319115
Adventures of Power		Adventures of Power		Adventures of Power					2008		2008	2008														Q379983	Q379983	Adventures of Power	https://en.wikipedia.org/wiki/Adventures_of_Power	Sign on Screen; Wikipedia				In the quest to become the world's greatest air-drummer, a small-town dreamer must overcome obstacles and ridicule to save the day.						Air drumming comedy in which the neighbour's daughter is deaf								comedy	Feature					American Sign Language (ASL); English		US		Ari Gold							tt0960721	Q379983
After Image	After Image	After Image					After Image		2001	January 23, 2001	2001				2001		tt0157007							tt0157007	https://www.imdb.com/title/tt0157007/?ref_=ls_t_26					DMDb; Sign on Screen; IMDb Deaf Characters								The story of a clairvoyant who falls in love with a crime photographer. Soon, both become involved in the search for a pathological murderer.	The story of a clairvoyant who falls in love with a crime photographer. Soon, both become involved in the search for a pathological murderer.	Crime thriller about the bond between a crime scene photographer and a deaf clairvoyant		Terrylene					Movies with Deaf Actors | Leading Roles	crime/mystery; deaf victim/witness; deaf-hearing relationship; thriller	Feature	Drama; Thriller			American Sign Language; English	American Sign Language (ASL); English	USA	UK; US		Robert Manganelli			https://deafmovie.org/title/after-image/				tt0157007	Q21028668
After My Death		After My Death	Joi manheun sonyeo						2017		2017						tt7390044		tt7390044											Sign on Screen										Whodunnit about the death of a young girl's best friend begins with unsubtitled signing in a classroom, which sets the tone for ambiguity and mystery								crime/mystery; drama; friendship; school/university setting	Feature					Korean; Korean Sign Language (KSL)		South Korea		Kim Uisek							tt7390044	Q56876234
After Silence		After Silence							1987		1987																			Sign on Screen										Satire about a deaf man whose son gets him a hearing aid; story of adapting back to a hearing world								adapting to deafness; Coda; hearing aid; family drama	Feature					Czech		Czechoslovakia		Jasmin Dizdar							tt5178664	–
After the Silence						After the Silence	After the Silence		1996					1996	1996		tt0115748					tt0115748	https://www.imdb.com/title/tt0115748/?ref_=ls_t_27	tt0115748	https://www.imdb.com/title/tt0115748/?ref_=ls_t_30					IMDb Deaf Movies; IMDb Deaf Characters							Laura is a 20-year-old deaf girl who has never been taught sign language. She is rescued from neglect and physical abuse by Pam, a social worker who teaches her how to communicate--and uncovers her true personality.	Laura is a 20-year-old deaf girl who has never been taught sign language. She is rescued from neglect and physical abuse by Pam, a social worker who teaches her how to communicate--and uncovers her true personality.																											tt0115748	–
