Title	Original Title	Year	Duration	IMDb ID	Wikidata ID	IMDb Link	Wikidata ID	Format	Genre	Director/Creator	Deaf Actor/Character	Language	Country	Sign Language %	Tags	Synopsis/Description	Notes	DMDb URL	Wikipedia URL	Sources	
Abang Adik	Abang Adik	2023		tt27445004	Q123354213	https://www.imdb.com/title/tt27445004	https://www.wikidata.org/wiki/Q123354213	Feature; Short; Documentary; Children's feature; News	Crime; Drama	Lay Jin Ong		Cantonese; Malay; Mandarin; Hindi; Indian Sign Language (ISL); Urdu; French; French Sign Language (LSF); Arabic; Finnish; Finnish Sign Language (FSL); Italian; Italian Sign Language (LIS); Spanish; Francophone African Sign Language (LSAF); Spanish Sign Language (LSE); German; German Sign Language (DGS); Flemish; Filipino; Tagalog; Pakistani Sign Language; American Sign Language (ASL); Quebecois Sign Language (LSQ); English; Hungarian; Japanese; Japanese Sign Language (JSL); Norwegian; Norwegian Sign Language (NSL); Wolof; Chinese Sign Language (CSL); Catalan; Hebrew; Israeli Sign Language (Shassi/ISL); Levantine Arabic Sign Language; Danish Sign Language (DTS); Filipino Sign Language (FSL); Czech; Swiss German; Polish; Polish Sign Language (PJM); Danish	Malaysia; Taiwan; India; France; Algeria; Finland; Italy; Argentina; Canada; Spain; Chile; Germany; Belgium; Philippines; Pakistan; Hungary; Mexico; Japan; Switzerland; Norway; Guinea; Senegal; Israel; Denmark; Czechoslovakia; Tajikistan; USSR; Poland		crime; drama; action; adoption/foster care; Bollywood; deaf child; deaf child hearing parent; deaf-hearing relationship; romance; romantic comedy; Deaf Culture; family drama; learning sign; sports; accessibility; deaf musician/dancer; nonverbal; deaf victim/witness; deaf and blind character pairing; hearing actor in deaf role; deaf actor; friendship; adapting to deafness; deafened by illness; music; progressive hearing loss; vibrations; deaf director; deaf writer/producer; all/most dialogue in sign language; news; grief; hearing teacher; learning speech; deaf artist; deafblind documentary; crime/mystery; deaf villain/suspect; queer; disability; School for the Deaf; thriller; sign language used for hiding/secrets; school/university setting; comedy; hearing character pretending to be deaf; sign language poetry/song; sci-fi/fantasy; deafened by accident/violence/violence; deafened by accident/violence; deafened soldier; hearing aid; lipreading, inc. magical; sex work; biopic; deafblind character; Goya; deafened by sound exposure; isolation; deaf servant; sibling relationship; Coda; wild child; revenge/vigilante; hearing stalker/killer; survival narrative; Indigenous character/themes; nonverbal character; signing animal; religion; western; deaf mystic	Neo-noir crimdrama film about a pair of orphans in Malaysia, one deaf-mute, who struggle in a poverty-stricken and crime-ridden enivronment.			https://en.wikipedia.org/wiki/Abang_Adik	Sign on Screen	
13 Minutes		2021		tt9274670	Q110585233	https://www.imdb.com/title/tt9274670	https://www.wikidata.org/wiki/Q110585233	Feature	Action; Drama; Thriller	Lindsay Gossling		American Sign Language (ASL); English	US		action; deaf actor; deaf child; survival narrative	Disaster tornado action movie includes deaf character played by Shaylee Mansfield	A local TV weatherman and his wife, a professional forecaster, try to engage a babysitter for their deaf child.		https://en.wikipedia.org/wiki/13_Minutes_(2021_film)	Sign on Screen	
170 Hz		2011		tt1825636	Q2620822	https://www.imdb.com/title/tt1825636	https://www.wikidata.org/wiki/Q2620822	Feature	Drama 	Joost van Ginkel		Dutch; French Sign Language (LSF)	Netherlands		drama; hearing actor in deaf role; romance	Short in which two deaf teens fall in love and run away together			https://en.wikipedia.org/wiki/170_Hz	Sign on Screen	
1924		2023		–	–			Shorts by Deaf Directors; Shorts	Drama; Short	Audrey Sangla		French Sign Language; French	France	50-100% Sign Language Usage		“19:24” is a short film that tells the story of a long-distance deaf couple, Justine (French) and Karl (Danish), who have been together for two years, staying connected through modern technology.		https://deafmovie.org/title/1924/		DMDb	
25 Minutes of a Lifetime		2014		tt5599080	–	https://www.imdb.com/title/tt5599080		Short	Drama; Short	Bhulla Beghal		British Sign Language (BSL); English	UK		accessibility; isolation	Documentary about an Indian-British deaf woman's experience of cultural and linguistic barriers				Sign on Screen	
2:00 AM		2020		tt13588546	–	https://www.imdb.com/title/tt13588546		Short	Horror; Short	Samuel Ash		British Sign Language (BSL)	UK		deaf actor; deaf director; deaf producer/writer; all/most dialogue in sign language; thriller	British Sign Language (BSL) mystery short about a man (deaf actor Nadeem Islam) who wakes up to a ghost in his house				Sign on Screen	
300 Secs		2013		tt3720160	–	https://www.imdb.com/title/tt3720160		Documentary	Sport; Short	David Ellington		English	UK		deaf sporting excellence; sports	Documentary short interviewing Adam Evans, a deaf MMA fighter				Sign on Screen	
The 355		2022		tt8356942	Q65090801	https://www.imdb.com/title/tt8356942	https://www.wikidata.org/wiki/Q65090801	Movies with Deaf Actors | Supporting Roles; Movies; Feature	Action	Simon Kinberg	Emilio Insolera	French; Chinese; German; Arabic; American Sign Language; English; Spanish; American Sign Language (ASL)	USA; China; US	0–1% Sign Language Usage	action; crime/mystery; deaf actor	When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who’s tracking their every move.		https://deafmovie.org/title/tt8356942/	https://en.wikipedia.org/wiki/The_355	DMDb; Sign on Screen	
4		2014		tt3713698	–	https://www.imdb.com/title/tt3713698		Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Short; Drama	Bim Ajadi	Stephen Collins	British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage		In the confines of his disheveled bedsit, an agoraphobic young man is challenged to a game of connect 4. However it soon becomes apparent that this is no ordinary version of the parlor game that we are watching. What was designed for recreation has now become an obsessive addiction. Losing for him is no longer an option, but are the odds stacked against him, and the stake too high? A suspense drama……..		https://deafmovie.org/title/tt3713698/		DMDb	
4 Quarters Of Silence		2017		tt6028186	–	https://www.imdb.com/title/tt6028186		Documentary	Documentary; Short; Drama; Sport 	Cody Broadway						4 Quarters of Silence diagrams a journey that follows the Texas School for the Deaf Rangers. Ask the school’s head football coach, players, and the athletes’ parents and you’ll find out that deafness is not a weakness, but a strength.		https://deafmovie.org/title/4-quarters-of-silence/		DMDb	
50/50		2010		–	–			Short	–	James Banks; David Ellington		British Sign Language (BSL); English	UK		crime/mystery; deaf villain/suspect	Andy Stein and Jez Stone are millionaires, they just havenʼt found the money yet. Broke and living in a battered van, Andy, (Deaf) cleanshaven and slightly obsessive shares this space with his messy, scamcreating best friend, Jez (Hearing). Just as things couldnʼt get worse, Jez dreams up the perfect getrichquick plan. Andy will be Britainʼs Top Deaf Psychic, but is it too much for Andy? A sweet, humorous tale of friendship, scams and speaking to the dead.				Sign on Screen	
The 5th Wave		2016		tt2304933	Q17436508	https://www.imdb.com/title/tt2304933	https://www.wikidata.org/wiki/Q17436508	Feature	Action; Adventure; Sci-Fi; Thriller	J Blakeson		English	UK; US		action movie; action; apocalypse; deaf actor; deaf child; sci-fi/fantasy; sibling relationship; survival narrative	Alien attack action sci-fi movie stars Chloë Grace Moretz as a hearing sister trying to protect her deaf little brother played by deaf actor Zachary Arthur			https://en.wikipedia.org/wiki/The_5th_Wave_(film)	Sign on Screen	
6ixtynin9	Ruang talok 69	1999		tt0235154	Q1969876	https://www.imdb.com/title/tt0235154	https://www.wikidata.org/wiki/Q1969876	Feature	Comedy; Crime; Thriller	Pen-Ek Ratanaruang; Tom Pen-Ek Ratanaruang		Thai	Thailand		crime/mystery; sports; thriller	Crime thriller includes boxing boss with deaf assistant				Sign on Screen	
The 7th Hunt		2009		tt1118655	Q7711989	https://www.imdb.com/title/tt1118655	https://www.wikidata.org/wiki/Q7711989	Feature	Drama; Horror; Thriller	John Cohen						For Gothic Callie, her deaf sister Ariel, computer nerd Chris, popular Sarah, and misogynist Ricky, their evening plans are about to be re-written. Taken to an abandoned military training school, they finds themselves the target of 5 sadistic killers, each with their own unique and different style of killing. They fight for their lives against sociopaths who know their environment intimately, becoming increasingly outnumbered as their friends are killed.		https://deafmovie.org/title/the-7th-hunt/		DMDb	
9/11 Fear in Silence: The Forgotten Underdogs		2006		tt1811294	–	https://www.imdb.com/title/tt1811294		Documentary	Documentary 	Jade Bryan		American Sign Language (ASL); English	US			Documentary about deaf people affected by 9/11				Sign on Screen	
Aarons Consent		2014		tt3662142	–	https://www.imdb.com/title/tt3662142		Shorts with Deaf Actors | Leading Roles; Shorts; Short	Drama; Short	Davo Hardy		Australian Sign Language; Australian Sign Language (Auslan); English	Australia		accessibility; disability	A man afflicted with cerebral palsy and profound deafness yearns for a meaningful relationship. His widowed father is torn between providing a high quality of life for his son and the reality of how unlikely it is that he will succeed.		https://deafmovie.org/title/aarons-consent/		DMDb; Sign on Screen	
Abraham's Valley	Vale Abraao	1993		tt0108471	Q123259	https://www.imdb.com/title/tt0108471	https://www.wikidata.org/wiki/Q123259	Feature	Drama	Manoel de Oliveira		Portuguese	France; Portugal; Switzerland		deaf servant; drama; friendship	Romantic drama about an unhappy wife in the style of Madame Bovary; her only confidante is her deaf maid				Sign on Screen	
Actions Speak Louder Than Words		1992		tt0136693	–	https://www.imdb.com/title/tt0136693		Short	Short; Documentary	Richard Kwietniowski		British Sign Language (BSL)	UK		deaf actor; deaf artist; all/most dialogue in sign language	Discussions with six deaf performers				Sign on Screen	
The Actor	Honarpisheh	1993		tt0107134	Q3201435	https://www.imdb.com/title/tt0107134	https://www.wikidata.org/wiki/Q3201435	Feature	Comedy; Drama	Mohsen Makhamalbaf		Farsi	Iran		adoption/foster care; deaf victim/witness	A failing actor is pushed by his infertile wife to marry and impregnate a deaf 'gypsy' woman so she can have a child				Sign on Screen	
Adada		1987		tt0094613	Q4678350	https://www.imdb.com/title/tt0094613	https://www.wikidata.org/wiki/Q4678350	Feature	Drama	Kwon-taek Im		Korean; Korean Sign Language (KSL)	South Korea			Story of a deaf woman living in a South Korean village in the 1920s				Sign on Screen	
The Adventures of Hercules	Le avventure dell'incredibile Ercole	1985		tt0089271	Q1210829	https://www.imdb.com/title/tt0089271	https://www.wikidata.org/wiki/Q1210829	Feature	Adventure; Fantasy	Luigi Cozzi		English; Italian	Italy, Netherlands, US		deaf actor; action	Pulpy sequel includes deaf actor Lou Ferrigno reprising the title role				Sign on Screen	
The Adventures of Huck Finn		1993		tt0106223	Q1210882	https://www.imdb.com/title/tt0106223	https://www.wikidata.org/wiki/Q1210882	Feature		Stephen Sommers		English	US		hearing character pretending to be deaf	Disney remake of Mark Twain's novel with Elijah Wood and Courtney B. Vance includes scene in which character pretends to be deaf				Sign on Screen	
The Adventures of Huckleberry Finn		1960		tt0053571	Q319115	https://www.imdb.com/title/tt0053571	https://www.wikidata.org/wiki/Q319115	Feature; 107 mins	Adventure; Comedy; Drama; Family	MGM	Unknown					*In one episode two river con artists... pretend to be an English minister accompanied by his deaf brother... The Duke parodies signs... When the real English cousins arrive, they communicate in correct signs...	121			Hollywood Speaks	
Adventures of Power		2008		tt0960721	Q379983	https://www.imdb.com/title/tt0960721	https://www.wikidata.org/wiki/Q379983	Feature	Comedy; Music	Ari Gold		American Sign Language (ASL); English	US		comedy	Air drumming comedy in which the neighbour's daughter is deaf				Sign on Screen; Wikipedia	
After Image		2001		tt0157007	Q21028668	https://www.imdb.com/title/tt0157007	https://www.wikidata.org/wiki/Q21028668	Movies with Deaf Actors | Leading Roles; Feature	Drama; Thriller	Robert Manganelli	Terrylene	American Sign Language; English; American Sign Language (ASL)	USA; UK; US		crime/mystery; deaf victim/witness; deaf-hearing relationship; thriller	The story of a clairvoyant who falls in love with a crime photographer. Soon, both become involved in the search for a pathological murderer.		https://deafmovie.org/title/after-image/		DMDb; Sign on Screen; IMDb - Deaf Characters in Movies	
After My Death	Joi manheun sonyeo	2017		tt7390044	Q56876234	https://www.imdb.com/title/tt7390044	https://www.wikidata.org/wiki/Q56876234	Feature	Drama 	Kim Uisek		Korean; Korean Sign Language (KSL)	South Korea		crime/mystery; drama; friendship; school/university setting	Whodunnit about the death of a young girl's best friend begins with unsubtitled signing in a classroom, which sets the tone for ambiguity and mystery			https://en.wikipedia.org/wiki/After_My_Death	Sign on Screen	
After Silence		1987		tt5178664	–	https://www.imdb.com/title/tt5178664		Feature	Short	Jasmin Dizdar		Czech	Czechoslovakia		adapting to deafness; Coda; hearing aid; family drama	Satire about a deaf man whose son gets him a hearing aid; story of adapting back to a hearing world				Sign on Screen	
After the Silence	Breaking Through	1996		tt0115748	Q3227180	https://www.imdb.com/title/tt0115748	https://www.wikidata.org/wiki/Q3227180	Feature	Drama	Fred Gerber						Laura is a 20-year-old deaf girl who has never been taught sign language. She is rescued from neglect and physical abuse by Pam, a social worker who teaches her how to communicate--and uncovers her true personality.				IMDb - Deaf Movies / Deaf Films; IMDb - Deaf Characters in Movies	
Against a Crooked Sky		1975		tt0072615	Q4691059	https://www.imdb.com/title/tt0072615	https://www.wikidata.org/wiki/Q4691059	Feature; 92 mins	Adventure; Drama; Family; Western	Earl Bellamy; Doty-Dayton	Henry Wilcoxon				deaf mystic; Indigenous character/themes; sibling relationship; western	Western in which a brother hunts down the Indian tribe that kidnapped his sister; includes a deaf Indigenous guide	127			Sign on Screen; Hollywood Speaks	
Against Her Will The Carrie Buck Story		1994		tt0109051	–	https://www.imdb.com/title/tt0109051		TV Movies; TV Movies with Deaf Actors | Leading Roles	Drama	John David Coles	Marlee Matlin	American Sign Language	USA			Carrie Buck is a young intellectually disabled woman who is persuaded to fight against the courts for custody of her newborn daughter after it’s taken from her since Carrie has been declared mentally incompetent to raise her baby by herself.		https://deafmovie.org/title/against-her-will-the-carrie-buck-story/		DMDb	
The Era Of Sign Language	手语时代	2010		–	–			x Documentaries; x Documentaries by Non-Deaf Directors		Su Qing	Deaf Actor	Chinese Sign Language; Chinese	China			The documentary film focuses on the perspective of Yoshiyoshi (Fanfan), a deaf woman who studied dance when she was young.		https://deafmovie.org/title/the-age-of-sign-language/		DMDb	
