Title	Year	IMDb ID	IMDb URL	Description
A Quiet Place	2018	tt6644200	https://www.imdb.com/title/tt6644200/?ref_=ls_t_1	A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.
A Quiet Place Part II	2020	tt8332922	https://www.imdb.com/title/tt8332922/?ref_=ls_t_2	Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.
The Hammer	2010	tt1094666	https://www.imdb.com/title/tt1094666/?ref_=ls_t_3	A coming of age drama following the life of Matt Hamill, the first deaf wrestler to win a National Collegiate Wrestling Championship.
Hush	2016	tt5022702	https://www.imdb.com/title/tt5022702/?ref_=ls_t_4	A deaf and mute European-American writer in her 20's who retreated into the woods to live a solitary life must fight for her life in silence when a masked serial killer appears at her window.
Rampage	2018	tt2231461	https://www.imdb.com/title/tt2231461/?ref_=ls_t_5	When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.
The Silent Heroes	2015	tt4309284	https://www.imdb.com/title/tt4309284/?ref_=ls_t_6	The story of 13 Real deaf children and their heroism, passion and humanity.
Hear Me	2009	tt1562328	https://www.imdb.com/title/tt1562328/?ref_=ls_t_7	A delivery boy falls for a young girl who is hearing impaired. Comparing themselves with "water birds" and trees, together they are going to break the barrier and pursue their dreams and take their relationship to the next level.
Mozhi	2007	tt1034053	https://www.imdb.com/title/tt1034053/?ref_=ls_t_8	A musician's love towards a stubborn deaf woman makes her eventually realize that there is more to her life than she previously thought.
The Bélier Family	2014	tt3547740	https://www.imdb.com/title/tt3547740/?ref_=ls_t_9	A girl who lives with her deaf parents discovers that she has the gift of singing.
Koshish	1972	tt0215911	https://www.imdb.com/title/tt0215911/?ref_=ls_t_10	A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.
Marie's Story	2014	tt3132714	https://www.imdb.com/title/tt3132714/?ref_=ls_t_11	Marie Heurtin is born both blind and deaf. Sister Marguerette wins her trust and teaches her how to express herself.
The Tribe	2014	tt1745787	https://www.imdb.com/title/tt1745787/?ref_=ls_t_12	A deaf boy joins a boarding school for similar children. Confronted by the violent and criminal antics of some of the other boys and girls, he struggles to conform and join the 'tribe'.
The Quiet	2005	tt0414951	https://www.imdb.com/title/tt0414951/?ref_=ls_t_13	A deaf teenager moves in with her godparents and discovers their dark, dysfunctional secrets.
The Seasoning House	2012	tt1555093	https://www.imdb.com/title/tt1555093/?ref_=ls_t_14	Sold at a brothel deep in the woods to work as a caretaker, a hapless deaf girl must summon the courage to fight for her life.
Silenced (also "Dogani")	2011	tt2070649	https://www.imdb.com/title/tt2070649/?ref_=ls_t_15	Based on real events, this film depicts the story of a school for the hearing-impaired where young deaf students were sexually assaulted by the faculty members over a long period of time.
Barfi!	2012	tt2082197	https://www.imdb.com/title/tt2082197/?ref_=ls_t_16	Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
Lake Windfall	2013	tt2432258	https://www.imdb.com/title/tt2432258/?ref_=ls_t_17	The film is a portrait of interactions between deaf, hard of hearing, and hearing people. The lot focuses on five characters in a post-apocalyptic setting. Told with humor and emotion, this film takes a authentic look at three different types of hearing loss experiences.
See What I'm Saying: The Deaf Entertainers Documentary	2009	tt1125387	https://www.imdb.com/title/tt1125387/?ref_=ls_t_18	This inspirational documentary follows four deaf entertainers: a comic, drummer, actor and a singer as they attempt to cross over to mainstream audiences. These uniquely talented entertainers overcome great challenges to celebrate success.
Deaf Jam	2011	tt1512763	https://www.imdb.com/title/tt1512763/?ref_=ls_t_19	In Deaf Jam, a Deaf New York City teen is introduced to sign language poetry and boldly enters the spoken word slam scene.
Sweet Nothing in My Ear	2008	tt1158793	https://www.imdb.com/title/tt1158793/?ref_=ls_t_20	Family drama about a deaf and hearing couple who struggle to decide whether or not to give their deaf son a cochlear implant.
Through Deaf Eyes	2007	tt4316648	https://www.imdb.com/title/tt4316648/?ref_=ls_t_21	Through Deaf Eyes is the story of a hidden and complex culture in America, a story of conflicts and prejudice that reaches the heart of what it means to be human. The deaf minority has seldom if ever had a voice. This documentary provides that voice, and that story, for the first time ever.
Black	2005	tt0375611	https://www.imdb.com/title/tt0375611/?ref_=ls_t_22	Michelle, a disabled girl who can't see, hear, or speak, suffering in a world that has given up on her. But when the teacher Debraj enters her life, he becomes a ray of hope that she might pursue her passions and have a normal life.
It's All Gone Pete Tong	2004	tt0388139	https://www.imdb.com/title/tt0388139/?ref_=ls_t_23	A famous DJ in the Ibiza club scene finds the alcohol and drug-fueled party that is his life threatened by the progressive loss of his hearing.
The Miracle Worker	1962	tt0056241	https://www.imdb.com/title/tt0056241/?ref_=ls_t_24	The story of Anne Sullivan's struggle to teach the blind, deaf and mute child Helen Keller how to understand and communicate.
Bangkok Dangerous	2000	tt0263101	https://www.imdb.com/title/tt0263101/?ref_=ls_t_25	The story is of a deaf-mute hitman and his partner who are based in Bangkok. He is friends with his partner's girlfriend who is a stripper at a local club. They go about their assassination business as usual as the boss climbs the underworld ladder and forms new alliances.
Dead Silence	1997	tt0118942	https://www.imdb.com/title/tt0118942/?ref_=ls_t_26	A veteran FBI agent negotiates the release of a bus-load of hearing-impaired school-children taken hostage by 3 desperate escaped convicts.
After the Silence	1996	tt0115748	https://www.imdb.com/title/tt0115748/?ref_=ls_t_27	Laura is a 20-year-old deaf girl who has never been taught sign language. She is rescued from neglect and physical abuse by Pam, a social worker who teaches her how to communicate--and uncovers her true personality.
Beyond Silence	1996	tt0116692	https://www.imdb.com/title/tt0116692/?ref_=ls_t_28	Since the earliest days in her childhood Lara has had a difficult but important task. Both her parents are deaf-mute and Lara has to translate from sign-language to the spoken word and vice versa when her parents want to communicate with other people.
In the Land of the Deaf	1992	tt0107796	https://www.imdb.com/title/tt0107796/?ref_=ls_t_29	With unerring curiousity and sensitivity, director Philbert portrays the difficulties and joys of being deaf, offering vivid portraits of people of all ages coping with and surmounting their challenges.
Children of a Lesser God	1986	tt0090830	https://www.imdb.com/title/tt0090830/?ref_=ls_t_30	A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.
And Your Name Is Jonah	1979	tt0078776	https://www.imdb.com/title/tt0078776/?ref_=ls_t_31	A couple whose son had been institutionalized after being diagnosed as intellectually disabled are shocked to discover that the diagnosis was wrong: their son is deaf.
The Heart Is a Lonely Hunter	1968	tt0123790	https://www.imdb.com/title/tt0123790/?ref_=ls_t_32	When deaf-mute Singer moves to a new town to be near his hospitalized friend, he makes an indelible impression on the lives of those around him.
The Story of Esther Costello	1957	tt0051015	https://www.imdb.com/title/tt0051015/?ref_=ls_t_34	A wealthy woman aids a deaf-blind teen orphan from her Irish village, becoming a mother figure. She must protect the girl from exploitative promoters and her ex-husband's schemes.
Deliverance	1919	tt0010061	https://www.imdb.com/title/tt0010061/?ref_=ls_t_35	The story of Helen Keller and how she overcame her disabilities.
Sound and Fury	2000	tt0240912	https://www.imdb.com/title/tt0240912/?ref_=ls_t_36	If you could make your deaf child hear, would you? Academy Award-nominated "Sound and Fury" follows the intimate, heart-rending tale of the Artinians, an extended family of deaf and hearing members, across three generations. Together they confront a technological device that can help the deaf to hear but may also threaten deaf culture--and their bonds with one another.
Through Deaf Eyes (2007 TV Movie)	2007	tt0487158	https://www.imdb.com/title/tt0487158/?ref_=ls_t_37	History Through Deaf Eyes will take a look at Deaf culture from the 19th century to the present. The 120 minute production for PBS will include short films.
Johnny Belinda	1948	tt0040495	https://www.imdb.com/title/tt0040495/?ref_=ls_t_38	A kind doctor volunteers to tutor a deaf-mute woman, but scandal starts to swirl when his pupil is raped and falls pregnant.
Read My Lips	2001	tt0274117	https://www.imdb.com/title/tt0274117/?ref_=ls_t_39	She is almost deaf and he lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.
Touch the Sound	2004	tt0424509	https://www.imdb.com/title/tt0424509/?ref_=ls_t_40	A documentary which explores the connections among sound, rhythm, time, and the body by following percussionist Evelyn Glennie, who is nearly deaf.
Marianna Ucrìa	1997	tt0116990	https://www.imdb.com/title/tt0116990/?ref_=ls_t_41	Sicily 18th century, Marianna Ucria is a 12-year-old deaf-mute from an aristocratic family of Palermo. Aged 13, she is married to a middle-aged uncle, Duca Pietro. She is repulsed by him... In her mature age she finally discovers and understands the terrible secret behind his handicap.
Dear Frankie	2004	tt0377752	https://www.imdb.com/title/tt0377752/?ref_=ls_t_42	After having responded to her son's numerous letters in the guise of his father, a woman hires a stranger to pose as his dad when meeting him.
Hear No Evil	1993	tt0107090	https://www.imdb.com/title/tt0107090/?ref_=ls_t_43	A deaf woman becomes the target of a ruthless and corrupt cop.
Bridge to Silence	1989	tt0096981	https://www.imdb.com/title/tt0096981/?ref_=ls_t_44	After her husband is killed in a car accident, Peg, who is deaf, has a nervous breakdown. Her mother assumes custody of Peg's daughter Lisa but after Peg recovers, Peg's mother refuses to let her daughter take back custody.
Mea Maxima Culpa: Silence in the House of God	2012	tt2111478	https://www.imdb.com/title/tt2111478/?ref_=ls_t_45	Alex Gibney explores the charged issue of pedophilia in the Catholic Church, following a trail from the first known protest against clerical sexual abuse in the United States and all the way to the Vatican.
Planet of Snail	2011	tt2057455	https://www.imdb.com/title/tt2057455/?ref_=ls_t_46	Young-Chan comes from planet of snail where deaf blind people live slow and quiet lives. When Young-Chan came to Earth, nobody understood his language and he was desperate. Then an angel walked into his life.
Helen Keller: The Miracle Continues	1984	tt0087401	https://www.imdb.com/title/tt0087401/?ref_=ls_t_47	Annie Sullivan Macy accompanies her student Helen Keller to Cambridge, Massachusetts in 1898 and supports her as she attends Radcliffe College.
