Title	Year	IMDb ID	IMDb URL	Description	Notes
Rain in My Head	2023	tt27525807	https://www.imdb.com/title/tt27525807/?ref_=ls_t_1	A deeply intimate and poignant depiction of the lives of Sarah and Marie, two deaf partners. Deaf director and Deaf cast	Deaf director and Deaf cast
CODA	2021	tt10366460	https://www.imdb.com/title/tt10366460/?ref_=ls_t_2	When the family's fishing business is threatened, Ruby finds herself torn between pursuing her musical passion and her fear of abandoning her deaf parents. Deaf cast but main CODA character played by non CODA actress	Deaf cast but main CODA character played by non CODA actress
Eternals	2021	tt9032400	https://www.imdb.com/title/tt9032400/	The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.	Deaf actress Lauren Ridloff plays Marvel's first Deaf superhero and uses ASL
Senandung Senyap	2023	tt30219663	https://www.imdb.com/title/tt30219663/?ref_=ls_t_5	Growing up as a deaf individual in Indonesia, Mufi was taught to speak instead of sign. As an adult, now she carves her music career to inspire others to express themselves through sign language.	Growing up as a deaf individual in Indonesia, Mufi was taught to speak instead of sign. As an adult, now she carves her music career to inspire others to express themselves through sign language. When Mufi was diagnosed as deaf at her early age, her parents insisted on moving to the capital city to get access to a proper education. Unfortunately, like any other Indonesian deaf people, they're taught to communicate more orally at school rather than using sign language. Living as the only deaf person in the family, Mufi felt left out in a lot of the family's conversations due to struggling to comprehend the fast conversation. Only after Mufi has grown, she started to use the sign language on a daily basis with her closest friends. After finding her safe space, through her work Mufi aims to show her identity as a deaf artist.
Deaf Jam	2011	tt1512763	https://www.imdb.com/title/tt1512763/?ref_=ls_t_9	In Deaf Jam, a Deaf New York City teen is introduced to sign language poetry and boldly enters the spoken word slam scene.	
Sign Gene	2017	tt4715060	https://www.imdb.com/title/tt4715060/?ref_=ls_t_10	The world's first deaf superheroes with superpowers through the use of sign language.	
The Bélier Family	2014	tt3547740	https://www.imdb.com/title/tt3547740/?ref_=ls_t_11	A girl who lives with her deaf parents discovers that she has the gift of singing.	The French-Belgian movie CODA is a remake of. Hearing actors play Deaf roles and the French Sign Language has mistakes apparently. Julia "What is awkward is that French Sign Language is not respected. There are many mistakes. During the preview in Toulouse, on 31 October 2014, the deaf audience needed to read the subtitles, as it could not understand what was being signed on the screen"
Flash Before the Bang	2023	tt4341220	https://www.imdb.com/title/tt4341220/?ref_=ls_t_12	There are no barriers for champions, only hurdles.	
Millstone	2023	tt18372862	https://www.imdb.com/title/tt18372862/?ref_=ls_t_13	Featuring an entirely Deaf cast and shot exclusively in American Sign Language, this is the story of a married couple who - after having tragically lost a child -seeks out a new, experimental therapy. Their grief is consuming them, destroying their marriage, and driving a wedge between them and the rest of society. They have found the only therapist who might be able to help them - but his process could be worse than anyone imagined.	
Children of a Lesser God	1986	tt0090830	https://www.imdb.com/title/tt0090830/?ref_=ls_t_14	A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.	Features Deaf actress Marlee Matlin playing a Deaf character
My Brother is Deaf	2023	tt18310170	https://www.imdb.com/title/tt18310170/?ref_=ls_t_15	A moving and personal film narrated by a boy with a deaf younger brother. When his family learns that his younger brother is deaf, he and his family try their best to get to know his younger brother, and what it means to be deaf.	
The Tribe	2014	tt1745787	https://www.imdb.com/title/tt1745787/?ref_=ls_t_20	A deaf boy joins a boarding school for similar children. Confronted by the violent and criminal antics of some of the other boys and girls, he struggles to conform and join the 'tribe'.	
Du sollst hören	2022	tt21600808	https://www.imdb.com/title/tt21600808/?ref_=ls_t_21	Two-year-old Mila is deaf. During an examination it is found out, that she could hear again with an implant. Nevertheless, her parents are against it. A judge now has to decide.	
Through Deaf Eyes	2007	tt0487158	https://www.imdb.com/title/tt0487158/?ref_=ls_t_22	History Through Deaf Eyes will take a look at Deaf culture from the 19th century to the present. The 120 minute production for PBS will include short films.	Hearing actor Riz Ahmed plays a drummer dealing with major hearing loss, Deaf actress Lauren Ridloff plays a teacher who helps him learn ASL.
A Silent Voice	2016	tt5323662	https://www.imdb.com/title/tt5323662/?ref_=ls_t_23	A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.	
Me llamo Gennet	2018	tt8836614	https://www.imdb.com/title/tt8836614/?ref_=ls_t_26	The young Gennet Corcuera begins a new stage of her life in which for the first time she lives alone and independent, working as a teacher.	
Sound of Metal	2019	tt5363618	https://www.imdb.com/title/tt5363618/?ref_=ls_t_27	A drummer begins to experience hearing loss. Hearing actor Riz Ahmed plays a drummer with hearing loss, Deaf actress Lauren Ridloff plays a teacher who helps him learn ASL.	
It's All Gone Pete Tong	2004	tt0388139	https://www.imdb.com/title/tt0388139/?ref_=ls_t_28	A famous DJ in the Ibiza club scene finds the alcohol and drug-fueled party that is his life threatened by the progressive loss of his hearing.	Hearing actor plays a deaf DJ, hearing actress plays his Deaf love interest who teaches him lipreading. "the comedy is leaden, the drama is flat and the attitude to deaf people is Neanderthal" - guardian reviewer Peter Bradshaw
Dune: Part One	2021	tt1160419	https://www.imdb.com/title/tt1160419/?ref_=ls_t_29	Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.	Has a signed conlang developed by hearing legendary conlanger and linguist David J. Peterson. The sign language is used for secret communication.
Avatar: The Way of Water	2022	tt1630029	https://www.imdb.com/title/tt1630029/?ref_=ls_t_30	Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.	Has a signed conlang developed by deaf actor CJ Jones who also plays a minor role in the movie. Language is used to communicate underwater.
