Title	Year	IMDb ID	IMDb URL	Description
Immortal Beloved	1994	tt0110116	https://www.imdb.com/title/tt0110116/?ref_=ls_t_1	A biopic exploring Beethoven's tumultuous life, focusing on his romantic pursuits. The film investigates the identity of the mysterious woman to whom the composer penned a passionate love letter, delving into his complex relationships.
Copying Beethoven	2006	tt0424908	https://www.imdb.com/title/tt0424908/?ref_=ls_t_2	A fictionalized account of the last year of Beethoven's life.
Children of a Lesser God	1986	tt0090830	https://www.imdb.com/title/tt0090830/?ref_=ls_t_3	A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.
Mr. Holland's Opus	1995	tt0113862	https://www.imdb.com/title/tt0113862/?ref_=ls_t_4	A frustrated composer finds fulfillment as a high school music teacher.
Read My Lips	2001	tt0274117	https://www.imdb.com/title/tt0274117/?ref_=ls_t_5	She is almost deaf and he lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.
The Quiet	2005	tt0414951	https://www.imdb.com/title/tt0414951/?ref_=ls_t_6	A deaf teenager moves in with her godparents and discovers their dark, dysfunctional secrets.
There Will Be Blood	2007	tt0469494	https://www.imdb.com/title/tt0469494/?ref_=ls_t_7	A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.
See No Evil Hear No Evil	1989	tt0098282	https://www.imdb.com/title/tt0098282/?ref_=ls_t_8	Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.
The Miracle Worker	1962	tt0056241	https://www.imdb.com/title/tt0056241/?ref_=ls_t_9	The story of Anne Sullivan's struggle to teach the blind, deaf and mute child Helen Keller how to understand and communicate.
Johnny Belinda	1948	tt0040495	https://www.imdb.com/title/tt0040495/?ref_=ls_t_10	A kind doctor volunteers to tutor a deaf-mute woman, but scandal starts to swirl when his pupil is raped and falls pregnant.
Love Is Never Silent (TV Movie)	1985	tt0089510	https://www.imdb.com/title/tt0089510/?ref_=ls_t_11	Margaret Ryder has always looked after her deaf parents, Janice and Abel. Long the only contact her folks have had with the speaking world, Margaret struggles with whether she should strike out on her own or not. When Margaret decides to make a change and ends up getting married, her parents interpret the move as a betrayal -- and Margaret is forced to figure out a way to bridge her old life with her new one.
The Legend of the Mountain Man	2008	tt1786712	https://www.imdb.com/title/tt1786712/?ref_=ls_t_12	Three kids visit their estranged grandparents' Montana ranch and discover an unknown creature, leading to a family healing journey.
Amy	1981	tt0082017	https://www.imdb.com/title/tt0082017/?ref_=ls_t_13	A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.
Amy	1997	tt0118614	https://www.imdb.com/title/tt0118614/?ref_=ls_t_14	The story of a young girl who witnesses her dad's death on stage at a rock concert and becomes mentally mute/deaf; four years later, she discovers that she can only communicate by singing.
