year	rank	imdb		title	id								
1980	1	tt0080684		Star Wars: Episode V - The Empire Strikes Back	empire_strikes_back	/release/rl2775811585/?ref_=bo_yld_table_1	$203,359,628	1,278	$209,398,025	May 21	Twentieth Century Fox		Adventure,Action,Fantasy
1980	2	tt0080319		9 to 5	nine_to_five	/release/rl876643841/?ref_=bo_yld_table_2	$103,290,500	910	$103,290,500	Dec 19	Twentieth Century Fox		Comedy
1980	3	tt0081562		Stir Crazy	stir_crazy	/release/rl3312682497/?ref_=bo_yld_table_3	$101,300,000	813	$101,300,000	Dec 12	Columbia Pictures		Crime,Comedy
1980	4	tt0079417		Kramer vs. Kramer	kramer_v_kramer	/release/rl3999041025/?ref_=bo_yld_table_4	$94,448,310	898	$106,260,000	Dec 19	Columbia Pictures		Drama
1980	5	tt0080377		Any Which Way You Can	any_which_way_you_can	/release/rl1916962305/?ref_=bo_yld_table_5	$70,687,344	1,541	$70,687,344	Dec 17	Warner Bros.		Action,Comedy
1980	6	tt0081375		Private Benjamin	private_benjamin_fs	/release/rl3513484801/?ref_=bo_yld_table_6	$69,847,348	763	$69,847,348	Oct 10	Warner Bros.		War,Comedy
1980	7	tt0080549		Coal Miner's Daughter	coal_miners_daughter	/release/rl1883932161/?ref_=bo_yld_table_7	$67,182,787	437	$67,182,787	Mar 7	Universal Pictures		Drama,Biography,Music
1980	8	tt0081529		Smokey and the Bandit II	smokey.and.the._tt0081529	/release/rl460359169/?ref_=bo_yld_table_8	$66,132,626	1,196	$66,132,626	Aug 15	Universal Pictures		Adventure,Action,Comedy
1980	9	tt0080455		The Blues Brothers	blues_brothers	/release/rl289834497/?ref_=bo_yld_table_9	$57,229,890	594	$57,229,890	Jun 20	Universal Pictures		Adventure,Crime,Comedy
1980	10	tt0081283		Ordinary People	ordinary_people	/release/rl3378939393/?ref_=bo_yld_table_10	$54,766,923	6	$54,766,923	Sep 19	Paramount Pictures		Drama
1980	11	tt0081353		Popeye	popeye	/release/rl2003535361/?ref_=bo_yld_table_11	$49,823,037	901	$49,823,037	Dec 12	Paramount Pictures		Adventure,Family,Comedy
1980	12	tt0081505		The Shining	shining	/release/rl3312354817/?ref_=bo_yld_table_12	$44,017,374	10	$44,017,374	May 23	Warner Bros.		Drama,Horror
1980	13	tt0080520		Cheech and Chong's Next Movie	cheech_and_chongs_next_movie	/release/rl2018215425/?ref_=bo_yld_table_13	$41,675,194	814	$41,675,194	Jul 18	Universal Pictures		Crime,Comedy
1980	14	tt0080487		Caddyshack	caddyshack	/release/rl3326707201/?ref_=bo_yld_table_14	$39,846,344	656	$39,846,344	Jul 25	Warner Bros.		Sport,Comedy
1980	15	tt0080761		Friday the 13th	friday_the_13th	/release/rl3344074241/?ref_=bo_yld_table_15	$39,754,601	1,100	$39,754,601	May 9	Paramount Pictures		Thriller,Horror,Mystery
1980	16	tt0080474		Brubaker	brubaker	/release/rl3125380609/?ref_=bo_yld_table_16	$37,121,708	594	$37,121,708	Jun 20	Twentieth Century Fox		Crime,Drama
1980	17	tt0080948		The Jazz Singer	jazz_singer	/release/rl3411707393/?ref_=bo_yld_table_17	$27,118,000	-	$27,118,000	Dec 19	Universal Pictures		Drama,Romance,Music
1980	18	tt0080745		Flash Gordon	flash_gordon	/release/rl3461580289/?ref_=bo_yld_table_18	$27,107,960	823	$27,107,960	Dec 5	Universal Pictures		Adventure,Sci-Fi,Action
1980	19	tt0080472		Bronco Billy	bronco_billy	/release/rl1497990657/?ref_=bo_yld_table_19	$24,265,659	1,321	$24,265,659	Jun 11	Warner Bros.		Adventure,Action,Comedy
1980	20	tt0081398		Raging Bull	raging_bull	/release/rl4201285121/?ref_=bo_yld_table_20	$23,334,953	180	$23,334,953	Nov 14	Metro-Goldwyn-Mayer (MGM)		Drama,Biography,Sport
1980	21	tt0081777		Xanadu	xanadu	/release/rl1501201921/?ref_=bo_yld_table_21	$22,762,571	249	$22,762,571	Aug 8	Universal Pictures		Musical,Romance,Fantasy
1980	22	tt0080365		American Gigolo	american_gigolo	/release/rl3091432961/?ref_=bo_yld_table_22	$22,743,674	570	$22,743,674	Feb 1	Paramount Pictures		Crime,Drama,Mystery
1980	23	tt0081207		My Bodyguard	my_bodyguard	/release/rl392463873/?ref_=bo_yld_table_23	$22,482,952	477	$22,482,952	Jul 11	Twentieth Century Fox		Drama,Family,Comedy
1980	24	tt0080716		Fame	fame	/release/rl4283467265/?ref_=bo_yld_table_24	$21,202,829	3	$21,202,829	May 16	Metro-Goldwyn-Mayer (MGM)		Drama,Musical,Music
1980	25	tt0080360		Altered States	altered_states	/release/rl1749255681/?ref_=bo_yld_table_25	$19,679,242	3	$19,853,892	Dec 25	Warner Bros.		Sci-Fi,Horror,Thriller
1980	26	tt0080888		Honeysuckle Rose	honeysuckle.ros_tt0080888	/release/rl1029211649/?ref_=bo_yld_table_26	$17,815,212	826	$17,815,212	Jul 18	Warner Bros.		Drama,Romance,Music
1980	27	tt0080863		Hero at Large	hero.at.large_tt0080863	/release/rl1952024065/?ref_=bo_yld_table_27	$15,934,737	486	$15,934,737	Feb 8	Metro-Goldwyn-Mayer (MGM)		Romance,Comedy
