English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
2AM		Samuel Ash	2020	Short	British Sign Language (BSL)	UK		British Sign Language (BSL) mystery short about a man (deaf actor Nadeem Islam) who wakes up to a ghost in his house	deaf actor; deaf director; deaf producer/writer; all/most dialogue in sign language; thriller	tt13588546
The 5th Wave		J Blakeson	2016	Feature	English	UK; US		Alien attack action sci-fi movie stars Chloë Grace Moretz as a hearing sister trying to protect her deaf little brother played by deaf actor Zachary Arthur	action movie; action; apocalypse; deaf actor; deaf child; sci-fi/fantasy; sibling relationship; survival narrative	tt2304933
13 Minutes		Lindsay Gossling	2021	Feature	American Sign Language (ASL); English	US		Disaster tornado action movie includes deaf character played by Shaylee Mansfield	action; deaf actor; deaf child; survival narrative	tt9274670
25 Minutes of a Lifetime		Bhulla Beghal	2014	Short	British Sign Language (BSL); English	UK		Documentary about an Indian-British deaf woman's experience of cultural and linguistic barriers	accessibility; isolation	tt5599080
50/50		James Banks	2010	Short	British Sign Language (BSL); English	UK		Two men start a scam by having one pretend to be a psychic	crime/mystery; deaf villain/suspect	n/a
100 Humans: Life's Questions, Answered	 	Neil DeGroot; Tom Kramer; David Wechter	2020	Series	American Sign Language (ASL); English	US	Netflix	"Ask a Human" episode of this 8-episode miniseries about various dimensions of the human condition; last episode ends with two women signing	accessibility; disability	tt118230
122		Yasir Alyasiri	2019	Feature	Arabic; Egyptian Sign Language (ESL)	Egypt		Egyptian hospital horror movie in which the main character, Umnia, is deaf but played by hearing actor Amina Khalil	hearing actor in deaf role; horror; medical drama	tt118230
170 Hz		Joost van Ginkel	2011	Feature	Dutch; French Sign Language (LSF)	Netherlands		Short in which two deaf teens fall in love and run away together	drama; hearing actor in deaf role; romance	tt1825636
300 Secs		David Ellington	2013	Documentary	English	UK		Documentary short interviewing Adam Evans, a deaf MMA fighter	deaf sporting excellence; sports	tt3720160
The 355		Simon Kinberg	2022	Feature	American Sign Language (ASL); English	US		Action crime film includes deaf actor Emilio Insolera, with some passage in American Sign Language (ASL)	action; crime/mystery; deaf actor	tt8356942
90 Day Fiancé: Before the 90 Days		Brian Spoor	2017-	Series	American Sign Language (ASL); English	US		Season 6 of this reality tv series about 90-day engagements includes the deaf-hearing couple David (Dangerfield, deaf) and Sheila (Mangubat, hearing)	deaf contestant; deaf-hearing relationship; reality tv	tt7252812
A Beautiful Day in the Neighbourhood		Marielle Heller	2019	Feature	American Sign Language (ASL); English	China; US		Mr Rogers biopic includes scene in which Mr Rogers (Tom Hanks) shows what he thinks is the most beautiful American Sign Language (ASL) sign: 'friend'	biopic; drama; friendship	tt3224458
A Bird of the Air		Margaret Whitton	2011	Feature	American Sign Language (ASL); English	US		Romantic drama includes scene in which main character (Lyman) signs to a deaf librarian, impressing his love interest (Fiona)	drama; romance	tt0448022
A Deaf Life		Jonathan Reid	2010	Short	British Sign Language (BSL)	UK		Short in British Sign Language (BSL) showing bittersweet reflections on deaf life through a man's memories, includes deaf actors Matt Kirby and Samantha Denton	deaf actor; deaf director; all/most dialogue in sign language	tt1686764
A Life Without Words	Une vida sin palabras	Adam Isenberg	2011	Feature	Nicaraguan Sign Language (ISN); Spanish	Nicaragua; Turkey		Two deaf siblings in a rural Nicaraguan village are taught sign language for the first time by a hearing teacher	hearing teacher; 'hearing saviour'; isolation; learning sign; sibling relationship	tt1979384
A Peek of Love		Jeremy Lu	2020	Short	American Sign Language (ASL); English	US		An isolated deaf teen tries to lose her virginity to a hearing jock in an attempt at high school 'normalcy'	deaf-hearing relationship; drama; isolation	tt12199848
A Quiet Love		Garry Keane	2025	Documentary	English; Irish Sign Language (ISL)	Ireland		Documentary about the long-term romantic relationships of three deaf couples in Ireland	Deaf Culture; Deaf Gain; all/most dialogue in sign language; family drama; romance	tt37495241
A Quiet Place		John Krasinski	2018	Feature	American Sign Language (ASL); English	US		High-profile horror franchise in which a deaf girl (deaf actaor Millicent Simmonds) and her family use American Sign Language (ASL) to hide from monsters who hunt by sound	apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative	tt6644200
A Quiet Place Part II		John Krasinski	2021	Feature	American Sign Language (ASL); English	US		Sound horror sequel, continuation of a signing family's survival which includes their deaf daughter (deaf actaor Millicent Simmonds) using her hearing aids as a weapon against hyper-hearing monsters	apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative	tt8332922
A Silent Agreement		Davo Hardy	2017	Feature	Australian Sign Language (Auslan); English	Australia		A hearing writer with a stammer and a deaf partner (Joshua Sealy) is betrayed by his mentor	deaf actor; deaf-hearing relationship; drama	tt6427368
A Silent Voice	Koe no katachi	Naoko Yamada	2016	Feature	Japanese; Japanese Sign Language (JSL)	Japan		Anime adaptation of a manga about a young hearing man's remorse for bullying a deaf classmate as a child	born deaf; deaf child; deaf child hearing parent; deaf victim/witness; deaf character inspires hearing character’s self-actualisation; school/university setting	tt5323662
